Name,Latitude,Longitude,Category
Café Mama Kin,48.889421,2.38346,Beer Bar
Café la Laverie,48.868652,2.390035,Café
Le Bar Floréal,48.870335,2.384432,Photographer
Le Café des Amandiers,48.893105,2.214271,Bar
Bar Breton,48.889856,2.19775,Bar
La Brasserie Restaurant & Bar,48.89262,2.231549,Brasserie
So'Beauty Bar,48.88589,2.196818,Health and Beauty Service
Lal's Café,48.890505,2.235781,Café
Day's Café,48.895663,2.236576,Burger Joint
Tangerine Bar,48.892681,2.238303,Hotel Bar
Columbus Café & Co la Défense,48.890524,2.238893,Coffee Shop
Cafe New Yorkais,48.892777,2.239309,American Restaurant
Café de la Place,48.892387,2.239208,French Restaurant
"Picadeli (Picadeli, Bar à Salades)",48.817406,2.330484,Salad Restaurant
"Picadeli (Picadeli, bar à salades)",48.823929,2.326135,Salad Restaurant
Bo Boun Bar,48.811984,2.331344,Vietnamese Restaurant
Café Signes,48.825915,2.322671,Bar
Café Chinchin,48.824053,2.335815,Bar
"Picadeli (Picadeli, bar à salades)",48.82663,2.326115,Salad Restaurant
"Picadeli (Picadeli, bar à salades)",48.821746,2.312984,Salad Restaurant
Café M,48.820061,2.308896,Café
Café Bar d'Orléans,48.830215,2.329143,Bar
Fourteen Cafe,48.830394,2.333551,Bar
Café le Luxembourg,48.847753,2.3408,Bar
Columbus Café,48.847063,2.341242,Café
Wide Open Space  Bar,48.846207,2.342972,Cocktail Bar
Breizh Café,48.851598,2.33883,Restaurant
Le Café Pierre Hermé,48.85244,2.339687,Pastry Shop
Café le Quartier Général,48.850914,2.346157,Café
Jozi Café,48.847791,2.347102,Bar
Nuage Café,48.849223,2.347453,Café
Café de la Nouvelle Mairie,48.845464,2.344831,Café
Malongo Café,48.853464,2.340477,Coffee Shop
Café Leffe Bourg la Reine,48.780097,2.315836,Bar
Café des 2 Gares,48.77952,2.315057,Bar
Café Tabac de la Mairie,48.794958,2.335048,Café
Café de la Paix,48.777076,2.29554,Café
Café Brasserie de la Roseraie,48.77914,2.338965,Bar
Café de la Gare,48.811126,2.302459,Café
Cabane Café,48.781003,2.282362,Fast Food Restaurant
Bo Boun Bar,48.811984,2.331344,Vietnamese Restaurant
"Picadeli (Picadeli, bar à salades)",48.761552,2.307929,Salad Restaurant
"Picadeli (Picadeli, Bar à Salades)",48.817406,2.330484,Salad Restaurant
